id,title,venue,year,authors,doi,Label,abstract
582,ontology-based query answering over datalog-expressible rule sets is undecidable,kr,2024,"David Carral, Lucas Larroque, Michaël Thomazo",10.24963/kr.2024/22,4,ontology-based query answering is a problem that takes as input a set of facts f an ontology r typically expressed by existential rules a boolean query q and asks whether r and f entails q this problem is undecidable in general and a widely investigated approach to tackle it is called query rewriting: from r q a rule query is computed q r such that for any set of facts f it holds that r and f entail q iff f entails q r the literature mostly focused on q r expressed as a union of conjunctive queries ucqs and an algorithm that such a q r whenever it exists has been proposed in the literature however ucq-rewritability is applicable only in restricted settings this raises the question whether such a generic algorithm can be designed for a more expressive language such as datalog we solve this question by the negative by studying the difference between datalog-expressibility and datalog-rewritability in particular we show that query answering under datalog-expressible rule queries is undecidable
583,non-monotone fixpoint theory based on the structure of weak bilattices,kr,2024,"Angelos Charalambidis, Giannos Chatziagapis, Babis Kostopoulos, Panos Rondogiannis",10.24963/kr.2024/23,1,we extend the well-known representation theorem for interlaced bilattices to the broader class of weak interlaced bilattices based on this new theorem we develop a fixpoint theory for non-monotone functions over weak infinitarily interlaced bilattices our theory generalizes classical fixpoint constructions introduced by fitting as-well-as recent results in the area of approximation fixpoint theory we argue that the proposed theory has direct practical applications: we develop the semantics of higher-order logic programming with negation under an arbitrary weak infinitarily interlaced bilattice with negation generalizing in this way recent work on the three-valued semantics of this formalism we consider a line of research initiated by fitting which investigates the structure of the consistent parts of bilattices in order to obtain natural generalizations of kleene s three-valued logic we demonstrate that the consistent parts of bilattices are closely connected to weak bilattices generalizing previous results of fitting and kondo
584,asp-qrat: a conditionally optimal dual proof system for asp,kr,2024,"Leroy Chew, Alexis de Colnet, Stefan Szeider",10.24963/kr.2024/24,3,answer set programming asp is a declarative programming approach that captures many problems in knowledge representation and reasoning to certify an asp solver s decision whether the program is consistent or inconsistent we need a certificate or proof that can be independently verified this paper proposes the dual proof system asp-qrat that certifies both consistent and inconsistent asps asp-qrat is based on a translation of asp to qbf quantified boolean formus and the qbf proof system qrat as a checking format we show that asp-qrat p-simulates asp-drupe an existing refutation system for inconsistent disjunctive asps we show that asp-qrat is conditionally optimal for consistent and inconsistent asps i e any super-polynomial lower bound on the shortest proof size of asp-qrat implies a major breakthrough in theoretical computer science the case for consistent asps is remarkable because no analog exists in the qbf case
585,explaining image classifiers,kr,2024,"Hana Chockler, Joseph Y Halpern",10.24963/kr.2024/25,5,we focus on explaining image classifiers taking the work of mothilal et al 2021 mmts as our point of departure we observe that although mmts claim to be using the definition of explanation proposed by halpern 2016 they do not quite do so roughly speaking halpern s definition has a necessity clause and a sufficiency clause mmts replace the necessity clause by a requirement that as we show implies it halpern s definition also allows agents to restrict the set of options considered while these difference may seem minor as we show they can have a nontrivial impact on explanations we also show that essentially without change halpern s definition can handle two issues that have proved difficult for other approaches: explanations of absence when for example an image classifier for tumors outputs no tumor and explanations of rare events such as tumors
586,on verifying and generating robust plans for planning tasks with exogenous events,kr,2024,"Lukas Chrpa, Erez Karpas",10.24963/kr.2024/26,2,planning and acting under the presence of exogenous events brings a number of challenges as events might modify the environment without the consent of the acting agent consequently the agent s plan might get disrupted agent s goals might no longer be achievable or worse the agent might suffer some damage e g damage to the robot although policies mapping states to appropriate actions to take can describe in theory how the agent should act they might be difficult to explain and understand for humans in the loop in this paper we describe the concept of robust plans that are sequences of actions that can be successfully executed regardless of event occurrence robust plans are easier to understand than policies we present two methods for verifying whether a sequence of actions is a robust plan one based on compilation to classical planning and the other based on leveraging delete-relaxation we also present a method for generating robust plans that is derived from the relaxation verification method the methods are evaluated on three domains
587,strongly analytic calculi for klm logics with smt-based prover,kr,2024,"Agata Ciabattoni, Clemens Eisenhofer, Dmitry Rozplokhas",10.24963/kr.2024/27,3,we introduce modular calculi for the logics for nonmonotonic reasoning defined by kraus lehmann and magidor featuring a strengthened form of analyticity our calculi are used to determine the computational complexity for the logics c cl cm p and m and fragments thereof the calculi are encoded into smt solvers yielding an efficient prover with countermodel generation capabilities our work encompasses known results and introduces new findings including co-np-completeness and a more effective semantics for c
588,llasp: fine-tuning large language models for answer set programming,kr,2024,"Erica Coppolillo, Francesco Calimeri, Giuseppe Manco, Simona Perri, Francesco Ricca",10.24963/kr.2024/78,5,recently large language models llms have showcased their potential in various natural language processing tasks including code generation however while significant progress has been made in adapting llms to generate code for several imperative programming languages and tasks there remains a notable gap in their application to declarative formalisms such as answer set programming asp in this paper we move a step towards exploring the capabilities of llms for asp code generation first we perform a systematic evaluation of several state-of-the-art llms despite their power in terms of number of parameters training data and computational resources empirical results demonstrate inadequate performances in generating correct asp programs therefore we propose llasp a fine-tuned lightweight model specifically trained to encode fundamental asp program patterns to this aim we create an ad-hoc dataset covering a wide variety of fundamental problem specifications that can be encoded in asp our experiments demonstrate that the quality of asp programs generated by llasp is remarkable this holds true not only when compared to the non-fine-tuned counterpart but also when compared to the majority of eager llm candidates particularly from a semantic perspective all the code and data used to perform the experiments are publicly available:
589,qiana: a first-order formalism to quantify over contexts and formulas,kr,2024,"Simon Coumes, PierreHenri Paris, François Schwarzentruber, Fabian Suchanek",https://www.semanticscholar.org/paper/dfadbc00ebe543488826a03725beaf0a816d9753,2,we introduce qiana a logic framework for reasoning on formulas that are true only in specific contexts in qiana it is possible to quantify over both formulas and contexts to express e g that everyone knows everything alice says qiana also permits paraconsistent logics within contexts so that contexts can contain contradictions furthermore qiana is based on first-order logic and is finitely axiomatizable so that qiana theories are compatible with pre-existing first-order logic theorem provers
590,bridging max graph neural networks and datalog with negation,kr,2024,"David J Tena Cucala, Bernardo Cuenca Grau",10.24963/kr.2024/89,3,we consider a general class of data transformations based on graph neural networks gnns which can be used for a wide variety of tasks an important question in this setting is to characterise the expressive power of these transformations in terms of a suitable logic-based language from a practical perspective the correspondence of a gnn with a logical theory can be exploited for explaining the model s predictions symbolically in this paper we introduce a broad family of gnn-based transformations which can be characterised using datalog programs with negation-as-failure which can be computed from the gnns after training this generalises existing approaches based on positive programs by enabling the learning of nonmonotonic transformations we show empirically that these gnns offer good performance for knowledge graph completion tasks and that we can efficiently extract programs for explaining individual predictions
591,blending grounding and compilation for efficient asp solving,kr,2024,"Carmine Dodaro, Giuseppe Mazzotta, Francesco Ricca",10.24963/kr.2024/30,4,answer set programming asp is a widely recognized formalism for knowledge representation and reasoning traditional asp systems that employ the ground and solve architecture are subject to the grounding bottleneck i e variable-elimination can exhaust all computational resources compilation-based approaches have recently demonstrated how grounding can be effectively bypassed by compiling rules into propagators that simulate them however compiling an entire asp program is not always advantageous in this paper we present both a program rewriting technique and an algorithm for the compilation of grounding that allow for unrestricted blending of grounding and compilation we implement these techniques in a hybrid asp system that compares favourably with state-of-the-art asp solvers on established benchmarks
592,symmetries and expressive requirements for learning general policies,kr,2024,"Dominik Drexler, Simon Ståhlberg, Blai Bonet, Hector Geffner",10.24963/kr.2024/79,2,state symmetries play an important role in planning and generalized planning in the first case state symmetries can be used to reduce the size of the search in the second to reduce the size of the training set in the case of general planning however it is also critical to distinguish non-symmetric states i e states that represent non-isomorphic relational structures however while the language of first-order logic distinguishes non-symmetric states the languages and architectures used to represent and learn general policies do not in particular recent approaches for learning general policies use state features derived from description logics or learned via graph neural networks gnns that are known to be limited by the expressive power of c2 first-order logic with two variables and counting in this work we address the problem of detecting symmetries in planning and generalized planning and use the results to assess the expressive requirements for learning general policies over various planning domains for this we map planning states to plain graphs run off-the-shelf algorithms to determine whether two states are isomorphic with respect to the goal and run coloring algorithms to determine if c2 features computed logically or via gnns distinguish non-isomorphic states symmetry detection results in more effective learning while the failure to detect non-symmetries prevents general policies from being learned at all in certain domains
593,weighted merging operators: product utility-based operators and egalitarianism,kr,2024,"Patricia Everaere, Sébastien Konieczny, Ramón Pino Pérez",10.24963/kr.2024/31,1,we propose new operators for weighted propositional belief merging operators we introduce distance-based operators that use the product as aggregation function in social choice theory the product called the nash welfare function is known to be a more equitable social welfare function than the classical utilitarian welfare function based on a sum we study which properties are satisfied by the obtained corresponding weighted merging operators in particular we show that unlike the nash welfare function distance-based operators using the product do not satisfy the pigou-dalton property then we introduce a new family of weighted merging operators which we call utility-based weighted merging operators where the utility is roughly the converse of a distance for distance-based operators for most well-known distance-based operators it is easy to find the corresponding utility-based merging operators but an interesting result is that the utility-based weighted merging operator based on the product does not correspond to any standard distance-based weighted merging operator and this operator satisfies the pigou-dalton property
594,heuristic strategies for accelerating multi-agent epistemic planning,kr,2024,"Biqing Fang, Fangzhen Lin",10.24963/kr.2024/32,1,multi-agent epistemic planning mep is about achieving an epistemic goal in a multi-agent environment using agents actions that have epistemic preconditions and effects recently mep has received interest from both the dynamic logic and planning communities leading to the development of several innovative planners one such state of the art planner is mepk in this paper we propose two novel strategies to enhance the search methods within mepk our first strategy the enhancement strategy dynamically updates the heuristic based on the search path to the first goal-reachable node potentially reducing the number of nodes that need to be explored to find a solution our second the belief lock strategy prevents the planner from continuing to search a particular state that cannot progress to a goal state due to the possession by an agent of a certain belief our experiments on existing benchmarks show that the new strategies can indeed accelerate the problem solving we also construct new harder instances and demonstrate that our strategies significantly improve the performance on these hard benchmarks overall we consider our new planner a significant improvement over the existing one in terms of computational efficiency
595,a sound and complete axiomatisation for intuitionistic linear temporal logic,kr,2024,"David FernándezDuque, Brett McLean, Lukas Zenger",10.24963/kr.2024/33,3,intuitionistic linear temporal logic iltl has been studied extensively especially in the last decade it enjoys natural semantics over intuitionistic kripke frames equipped with an order-preserving function representing the temporal dynamics known as expanding models this leads to a logic that is known to be decidable but whose axiomatisation has long remained open we propose an extension of iltl with the co-implication connective of hilbert brouwer logic and call it bi-intuitionistic linear temporal logic biltl we establish that this extension is still decidable for the class of expanding models we moreover give a sound and complete hilbert-style calculus for it the first for any logic extending iltl as a corollary the topological semantics for intuitionistic propositional logic cannot be extended to a topological semantics for hilbert-brouwer logic which thus establishes co-implication as a distinctive feature of the kripke semantics for bi-intuitionistic logic
596,boundedness for unions of conjunctive regular path queries over simple regular expressions,kr,2024,"Diego Figueira, S Krishna, Om Swostik Mishra, Anantha Padmanabha",10.24963/kr.2024/34,2,the problem of whether a recursive query can be rewritten as query without recursion is a fundamental reasoning task known as the boundedness problem here we study the boundedness problem for unions of conjunctive regular path queries ucrpqs a navigational query language extensively used in ontology and graph database querying the boundedness problem for ucrpqs is known to be decidable expspace-complete here we focus our analysis on ucrpqs using simple regular expressions which are of high practical relevance and enjoy a lower reasoning complexity we show that the complexity for the boundedness problem for this ucrpqs fragment is pi-p-2-complete and that an equivalent bounded query can be produced in polynomial time whenever possible when the query turns out to be unbounded we also study the task of finding an equivalent maximally bounded query which we show to be feasible in pi-p-2 as a side result of independent interest stemming from our developments we study a notion of succinct finite automata and prove that its membership problem is np-complete
597,possibility of conditionals and conditional possibilities: from the triviality result to possibilistic imaging,kr,2024,"Tommaso Flaminio, Lluis Godo, Giuliano Rosella",10.24963/kr.2024/35,4,lewis-g rdenfors imaging is an updating procedure for probability functions that generalizes bayesian conditionalization allowing to approach the probability of conditionals and counterfactual formulas without incurring in lewis well-known triviality result precisely while the probability of a so called stalnaker conditional as formalizable in lewis logic c2 was proved to be an imaged probability by lewis in his celebrated paper from 1976 a variant of g rdenfors generalized imaging proposed by dubois and prade in 1994 has been recently proved to characterize the probability of lewis counterfactuals the latter refer to those conditionals of lewis s logic c1 the present contribution extends the analysis on lewis s triviality result imaging and generalized imaging to cope with possibility and necessity measures in particular after showing that the triviality result also holds in the possibilistic framework we introduce a way to define the possibility measure of conditional and counterfactual formula then we prove that the possibilistic version of lewis-g rdenfors imaging that is inspired by a definition given again by dubois and prade in 1994 actually characterizes as in the aforementioned cases the possibility of stalnaker conditionals and lewis counterfactuals furthermore we show that possibilistic imaging can also be described within the setting of boolean algebras of conditionals and lewis algebras these are algebraic models for conditional and counterfactual formulas recently introduced by two of the present authors on these structures one can canonically define a notion of possibility measure that turns out to be the conditional possibility and imaged possibility mentioned above respectively and hence it represents the possibility of conditional and counterfactual formulas
598,learning to ground existentially quantified goals,kr,2024,"Martin Funkquist, Simon Ståhlberg, Hector Geffner",10.24963/kr.2024/80,5,goal instructions for autonomous ai agents cannot assume that objects have unique names instead objects in goals must be referred to by providing suitable descriptions however this raises problems in both classical planning and generalized planning the standard approach to handling existentially quantified goals in classical planning involves compiling them into a dnf formula that encodes all possible variable bindings and adding dummy actions to map each dnf term into the new dummy goal this preprocessing is exponential in the number of variables in generalized planning the problem is different: even if general policies can deal with any initial situation and goal executing a general policy requires the goal to be grounded to define a value for the policy features the problem of grounding goals namely finding the objects to bind the goal variables is subtle: it is a generalization of classical planning which is a special case when there are no goal variables to bind and constraint reasoning which is a special case when there are no actions in this work we address the goal grounding problem with a novel supervised learning approach a gnn architecture trained to predict the cost of partially quantified goals over small domain instances is tested on larger instances involving more objects and different quantified goals the proposed architecture is evaluated experimentally over several planning domains where generalization is tested along several dimensions including the number of goal variables and objects that can bind such variables the scope of the approach is also discussed in light of the known relationship between gnns and c logics
599,dpasp: a probabilistic logic programming environment for neurosymbolic learning and reasoning,kr,2024,"Renato Lui Geh, Jonas Gonçalves, Igor C Silveira, Denis D Mauá, Fabio G Cozman",10.24963/kr.2024/69,5,we present dpasp a novel declarative probabilistic logic programming framework that allows for the specification of discrete probabilistic models by neural predicates relational logic constraints and interval-valued probabilistic choices this expressive combination facilitates the construction of models that combine low-level perception images texts etc and common-sense reasoning thus providing an excellent tool for neurosymbolic reasoning to support all such features we discuss several semantics for probabilistic logic programs that allow one to express nondeterminism non-monotonic reasoning contradiction and vague probabilistic knowledge we also discuss how gradient-based learning can be performed with neural predicates and probabilistic choices under selected semantics to showcase the possibilities offered by the framework we present case studies that exploit different semantics and constructs
600,preference-based abstract argumentation for case-based reasoning,kr,2024,"Adam Gould, Guilherme PaulinoPassos, Seema Dadhania, Matthew Williams, Francesca Toni",10.24963/kr.2024/37,3,in the pursuit of enhancing the efficacy and flexibility of interpretable data-driven classification models this work introduces a novel incorporation of user-defined preferences with argumentation and case-based reasoning cbr specifically we introduce preference-based argumentation for case-based reasoning which we call aa-cbr-p allowing users to define multiple approaches to compare cases with an ordering that specifies their preference over these comparison approaches we prove that the model inherently follows these preferences when making predictions and show that previous abstract argumentation for case-based reasoning approaches are insufficient at expressing preferences over constituents of an argument we then demonstrate how this can be applied to a real-world medical dataset sourced from a clinical trial evaluating differing assessment methods of patients with a primary brain tumour we show empirically that our approach outperforms other interpretable machine learning models on this dataset
601,axiomatization of approximate exclusion,kr,2024,Matilda Häggblom,10.24963/kr.2024/38,1,we define and axiomatize approximate exclusion atoms in the team semantic setting a team is a set of assignments which can be seen as a mathematical model of a uni-relational database we say that an approximate exclusion atom is satisfied in a team if the corresponding usual exclusion atom is satisfied in a large enough subteam we consider the implication problem for a set of approximate exclusion atoms and show that it is axiomatizable for consequences with a degree of approximation that is not too large we prove the completeness theorem for usual exclusion atoms currently missing from the literature and generalize it to the approximate case we also provide a polynomial time algorithm for the implication problems the results can also be applied to exclusion dependencies in database theory
602,a representation theorem for causal decision making,kr,2024,James M Joyce,https://www.semanticscholar.org/paper/237ec75e071fdfb403d03170e77ab4201641b125,5,this book defends the view that any adequate account of rational decision making must take a decision maker s beliefs about causal relations into account the early chapters of the book introduce the non-specialist to the rudiments of expected utility theory the major technical advance offered by the book is a representation theorem that shows that both causal decision theory and its main rival richard jeffrey s logic of decision are both instances of a more general conditional decision theory the book solves a long-standing problem for jeffrey s theory by showing for the first time how to obtain a unique utility and probability representation for preferences and judgements of comparative likelihood the book also contains a major new discussion of what it means to suppose that some event occurs or that some proposition is true the most complete and robust defence of causal decision theory available
603,verification of general games with imperfect information using strategy logic,kr,2024,"Yifan He, Munyque Mittelmann, Aniello Murano, Abdallah Saffidine, Michael Thielscher",10.24963/kr.2024/40,2,the game description language with imperfect information gdl-ii is a lightweight formalism for representing the rules of arbitrary games including those where players have private information its purpose is to build general game-playing systems that is automated players that can understand the rules of games and learn how to play them without human intervention epistemic strategy logic slk on the other hand is a rich logical framework for reasoning about multi-agent systems and the strategic behavior of agents with partial observability to enable a general game-playing system to take advantage of this rich formalism for the automatic verification of properties of games we present a formal translation from gdl-ii to slk models we prove the correctness of this translation and show how crucial properties of general games including playability and the existence of nash equilibria can be expressed as formulas in slk finally we demonstrate the application of an existing model-checking system for slk to verify the properties of gdl-ii games
604,from acceptance to rejection in abstract argumentation,kr,2024,"AnneMarie Heine, Markus Ulbricht",10.24963/kr.2024/41,5,dynamic reasoning environments are among the key aspects in formal argumentation research presumably the best understood problem is the so-called enforcement problem which asks generally speaking whether a given argumentation framework can be modified in a way that a certain desired outcome is ensured however enforcement research primarily focuses on the acceptance of arguments or sets thereof this paper aims to explore the dual problem and investigates means to reject certain unreasonable viewpoints to achieve this we use labelling semantics on abstract argumentation frameworks afs since they provide a clearly defined notion of rejection we consider different kinds of updates for our given af and provide results on existence as well as minimality of syntactic and semantic changes for the latter we define the new concept of consensus preservation formalizing the intuition that formerly acceptable opinions should remain acceptable in the adapted framework lastly we discuss how these two notions of minimizing change interact
605,operator-based semantics for choice programs: is choosing losing,kr,2024,Jesse Heyninck,10.24963/kr.2024/42,3,choice constructs are an important part of the language of logic programming yet the study of their semantics has been a challenging task so far only two-valued semantics have been studied and the different proposals for such semantics have not been compared in a principled way in this paper an operator-based framework allow for the definition and comparison of different semantics in a principled way is proposed
606,extending description logics with generic concepts - the tale of two semantics,kr,2024,"Joshua Hirschbrunn, Yevgeny Kazakov",https://www.semanticscholar.org/paper/789bc8f51a0b33c56af3ce3e6fa976a82a71a7b8,4,description logic dl ontologies often need to model similar properties for different concepts taking inspiration from generic classes in object-oriented programming we introduce concept parameters to describe related concepts for example localanesthesia eye and localanesthesia knee can be used to describe the anesthesia of an eye or a knee respectively the main benefit of generic concepts is to be able to describe general properties for example that every local anesthesia is done by applying an anesthetic drug we propose to use generic concepts such as localanesthesia x to define such properties where a concept variable x can be replaced with suitable concepts to capture the intended meaning of generic concepts we define two semantics for this extension: the schema semantics in which concept variables represent arbitrary concepts from a specific language and the second-order semantics in which variables represent arbitrary subsets of the domain generally the second-order semantics gives more logical consequences but the schema semantics allows a reduction to the classical dl reasoning to combine the benefits of both semantics we define a useful extension of the dl el for which both semantics coincide and a further restriction in which the entailment problem is decidable
607,incentive design for rational agents,kr,2024,"David Hyland, Munyque Mittelmann, Aniello Murano, Giuseppe Perelli, Michael Wooldridge",10.24963/kr.2024/44,2,we introduce incentive design: a new class of problems for equilibrium verification in multi-agent systems in our model agents attempt to maximize their utility functions which are expressed as formulae in ltl f a quantitative extension of linear temporal logic with functions computable in polynomial time we assume agents are rational in the sense that they adopt strategies consistent with game theoretic solution concepts such as nash equilibrium for each solution concept we consider we analyze the problems of verifying whether an incentive scheme achieves a societal objective and finding one that does so whether it be social welfare or any other aggregate measure of collective well-being we study both static and dynamic incentive schemes showing that the latter are more powerful than the former finally we solve the incentive verification and synthesis problems for all the solution concepts we consider and analyze their complexity
608,lad-based feature selection for optimal decision trees and other classifiers,kr,2024,"David Ing, Said Jabbour, Lakhdar Sais, Fabien Delorme",10.24963/kr.2024/81,1,the curse of dimensionality presents a significant challenge in data mining pattern recognition computer vision and machine learning applications feature selection is a primary approach to address this challenge it aims to eliminate irrelevant and redundant features while preserving the relevant ones to reduce computation time improve prediction performance and enhance the understanding of data in this paper we introduce a new feature selection fs technique based on the logical analysis of data lad a pattern learning framework that combines optimization boolean functions and combinatorial theory one of its main objectives is to generate minimal support sets of features subsets of features that discriminate between different groups of data to generate such subsets we first reduce the complexity of the lad optimization task by transforming it into the problem of enumerating minimal hitting sets in a hypergraph for which efficient implementations exist those feature subsets are then ranked based on a scoring method before selecting the highest quality one moreover we explore the relationship between optimal decision trees dts and lad-based fs introducing new optimality criteria namely dts involving a minimum number of features finally we conduct comparative evaluations of lad-based approach against several state-of-the-art sota fs methods on benchmark datasets including two-class binary datasets and numerical datasets with two and multiple classes experiments reveal that our approach is competitive with sota methods selecting high-quality feature subsets that maintain or enhance the performance of dts and other classifiers like svm knn and naive bayes
609,nemo: your friendly and versatile rule reasoning toolkit,kr,2024,"Alex Ivliev, Lukas Gerlach, Simon Meusel, Jakob Steinberg, Markus Krötzsch",10.24963/kr.2024/70,4,we present nemo a toolkit for rule-based reasoning and data processing that emphasises robustness and ease of use nemo s core is a scalable and efficient main-memory reasoner that supports an expressive extension of datalog with support for datatypes existential rules aggregates and stratified negation built around this core is a versatile system of libraries and applications for interfacing with several data formats and programming languages use as a progressive web application and ide integration in this system description we present this toolkit and discuss relevant application areas in rule-based knowledge representation knowledge graph processing and reasoner prototyping our evaluation on a range of tasks from these areas demonstrates nemo s robust performance in comparison to state-of-the-art rule engines
610,distance-restricted explanations: theoretical underpinnings &amp efficient implementation,kr,2024,"Yacine Izza, Xuanxiang Huang, Antonio Morgado, Jordi Planes, Alexey Ignatiev, Joao MarquesSilva",10.24963/kr.2024/45,5,the uses of machine learning ml have snowballed in recent years in many cases ml models are highly complex and their operation is beyond the understanding of human decision-makers nevertheless some uses of ml models involve high-stakes and safety-critical applications explainable artificial intelligence xai aims to help human decision-makers in understanding the operation of such complex ml models thus eliciting trust in their operation unfortunately the majority of past xai work is based on informal approaches that offer no guarantees of rigor unsurprisingly there exists comprehensive experimental and theoretical evidence confirming that informal methods of xai can provide human-decision makers with erroneous information logic-based xai represents a rigorous approach to explainability it is model-based and offers the strongest guarantees of rigor of computed explanations however a well-known drawback of logic-based xai is the complexity of logic reasoning especially for highly complex ml models recent work proposed distance-restricted explanations i e explanations that are rigorous provided the distance to a given input is small enough distance-restricted explainability is tightly related with adversarial robustness and it has been shown to scale for moderately complex ml models but the number of inputs still represents a key limiting factor this paper investigates novel algorithms for scaling up the performance of logic-based explainers when computing and enumerating ml model explanations with a large number of inputs
611,unique characterisability and learnability of temporal queries mediated by an ontology,kr,2024,"Jean Christoph Jung, Vladislav Ryzhikov, Frank Wolter, Michael Zakharyaschev",10.24963/kr.2024/46,4,algorithms for learning database queries from examples and unique characterisations of queries by examples are prominent starting points for developing automated support for query explanation and construction we investigate how far recent results and techniques on learning and unique characterisations of atemporal queries mediated by an ontology can be extended to temporal data and queries based on a systematic review of the relevant approaches in the atemporal case we obtain general transfer results identifying conditions under which temporal queries composed of atemporal ones are polynomially learnable and uniquely characterisable
612,total preorders vs ranking functions under belief revision - the dynamics of empty layers,kr,2024,"Gabriele KernIsberner, Alexander Hahn, Jonas Haldimann, Christoph Beierle",https://www.semanticscholar.org/paper/89ccad6cbc71faed6c89e18687c3d4c410b982f6,2,total preorders and spohn s ranking functions are most popular semantic structures in nonmonotonic reasoning and belief revision each ranking function uniquely induces a total preorder while each total preorder corresponds to infinitely many ranking functions because of the empty layers that ranking functions may have in this paper we adopt a dynamic perspective and investigate the role of empty layers in belief revision scenarios we strengthen the notion of inferential equivalence of ranking functions by introducing revision equivalence which postulates the equivalence of ranking functions after most general revision operations moreover we single out so-called linearly equivalent ranking functions as prototypes of ranking functions with regularly inserted empty layers such ranking functions are most suitable to provide an invariance property for revision equivalence which claims that linear equivalence should be preserved we show that strategic c-revisions ensure conditional revision equivalence of linearly equivalent ranking functions if the strategies are adequately chosen whereas the darwiche-pearl postulates for iterated revision alone are not enough to guarantee revision equivalence of ranking functions we evaluate various other iterated revision approaches from the literature with respect to revision equivalence and preserving linear equivalence under revision furthermore we present an approach to defining equivalence preserving revision operators for ranking functions from revision operators for total preorders
613,on the expressivity of recurrent neural cascades with identity,kr,2024,"Nadezda Alexandrovna Knorozova, Alessandro Ronca",10.24963/kr.2024/82,1,recurrent neural cascades rnc are the class of recurrent neural networks with no cyclic dependencies among recurrent neurons their subclass rnc with positive recurrent weights has been shown to be closely connected to the star-free regular languages which are the expressivity of many well-established temporal logics the existing expressivity results show that the regular languages captured by rnc are the star-free ones and they leave open the possibility that rnc may capture languages beyond regular we exclude this possibility for languages that include an identity element i e an input that can occur an arbitrary number of times without affecting the output namely in the presence of an identity element we show that the languages captured by rnc are exactly the star-free regular languages identity elements are ubiquitous in temporal patterns and hence our results apply to a large number of applications the implications of our results go beyond expressivity at their core we establish a close structural correspondence between rnc and semiautomata cascades showing that every neuron can be equivalently captured by a three-state semiautomaton a notable consequence of this result is that rnc are no more succinct than cascades of three-state semiautomata
614,leveraging decision-dnnf compilation for enumerating disjoint partial models,kr,2024,"JeanMarie Lagniez, Emmanuel Lonca",10.24963/kr.2024/48,1,the all-solution satisfiability problem allsat extends sat by requiring the identification of all possible solutions for a propositional formula in practice enumerating all complete models is often infeasible making the identification of partial models essential for generating a concise representation of the solution set deterministic decomposable negation normal form d-dnnf serves as a language for representation known to offer polynomial-time algorithms for model enumeration specifically when a propositional formula is encoded in d-dnnf it enables iterative model enumeration with polynomial delay between models however despite the existence of theoretical algorithms for this purpose no available implementations are currently accessible furthermore these theoretical approaches are nearly impractical as they solely yield complete models we introduce a novel algorithm that maintains a polynomial delay between partial models while significantly enhancing efficiency compared to baseline approaches furthermore through experimental validation we demonstrate the superiority of compiling a cnf formula into a d-dnnf formula and subsequently enumerating models of over existing state-of-the-art methodologies for cnf partial model enumeration
615,complexity results and algorithms for preferential argumentative reasoning in aspic,kr,2024,"Tuomo Lehtonen, Daphne Odekerken, Johannes P Wallner, Matti Järvisalo",10.24963/kr.2024/49,3,we provide complexity results and algorithms for reasoning in the central structured argumentation formalism of aspic considering aspic accommodated with preferences under the last-link principle the results are made possible by rephrasing several argumentation semantics---admissible complete stable preferred and grounded---in terms of defeasible elements of an aspic theory for both democratic and elitist last-link lifting via the rephrasing we establish that acceptance is polynomial-time computable under grounded semantics and complete for either np conp or pi p 2 depending on the reasoning mode and semantics we also detail answer set programming encodings for deciding acceptance for the np/conp-complete reasoning tasks and empirically show that it scales significantly better than first translating aspic reasoning tasks to abstract argumentation finally we show that in contrast to the last-link principle it is np-hard to compute the grounded extension under the weakest-link principle
616,contestable ai needs computational argumentation,kr,2024,"Francesco Leofante, Hamed Ayoobi, Adam Dejl, Gabriel Freedman, Deniz Gorur, Junqi Jiang, Guilherme PaulinoPassos, Antonio Rago, Anna Rapberger, Fabrizio Russo, Xiang Yin, Dekai Zhang, Francesca Toni",10.24963/kr.2024/83,3,ai has become pervasive in recent years but state-of-the-art approaches predominantly neglect the need for ai systems to be contestable instead contestability is advocated by ai guidelines e g by the oecd and regulation of automated decision-making e g gdpr in this position paper we explore how contestability can be achieved computationally in and for ai we argue that contestable ai requires dynamic human-machine and/or machine-machine explainability and decision-making processes whereby machines can 1 interact with humans and/or other machines to progressively explain their outputs and/or their reasoning as well as assess grounds for contestation provided by these humans and/or other machines and 2 revise their decision-making processes to redress any issues successfully raised during contestation given that much of the current ai landscape is tailored to static ais the need to accommodate contestability will require a radical rethinking that we argue computational argumentation is ideally suited to support
617,adding circumscription to decidable fragments of first-order logic: a complexity rollercoaster,kr,2024,"Carsten Lutz, Quentin Manière",10.24963/kr.2024/50,2,we study extensions of expressive decidable fragments of first-order logic with circumscription considering in particular the two-variable fragment fo 2 its extension c 2 with counting quantifiers and the guarded fragment gf we prove that if only unary predicates are minimized or fixed during circumscription then decidability of logical consequence is preserved for fo 2 the complexity increases from nexp to nexp np-complete for gf it remarkably increases from 2exp to tower-complete and for c 2 it remains open we also consider querying circumscribed knowledge bases whose ontology is a gf sentence showing that the problem is decidable for unions of conjunctive queries tower-complete in combined complexity and elementary in data complexity already for atomic queries and ontologies that are sets of guarded existential rules however for every k &gt 0 there is an ontology and query that are k-exp-hard in data complexity
